name,age,team,rating,value,wage,contract,Posts
K. Furuhashi,27,Celtic,75,€6M,€50K,2021 ~ 2025,['ST']
O. Kossounou,21,Bayer 04 Leverkusen,75,€12M,€27K,2021 ~ 2026,"['CB', 'RB']"
F. Balogun,20,Reims,71,€4.1M,€35K,"Jun 30, 2023 On Loan",['ST']
Tetê,22,Olympique Lyonnais,77,€23.5M,€1K,"Jun 30, 2023 On Loan","['RW', 'RM']"
B. Johnson,21,Nottingham Forest,75,€12.5M,€43K,2019 ~ 2026,"['RW', 'ST']"
João Pedro,20,Watford,72,€5.5M,€25K,2020 ~ 2025,"['ST', 'LM']"
Adrián Bernabé,21,Parma,69,€3.4M,€2K,2021 ~ 2024,"['CM', 'CAM']"
A. Diallo,19,Sunderland,71,€4.4M,€31K,"Jun 30, 2023 On Loan","['RM', 'RW']"
P. Wimmer,21,VfL Wolfsburg,76,€17M,€30K,2022 ~ 2027,"['RM', 'LM']"
A. Broja,20,Chelsea,75,€12.5M,€64K,2020 ~ 2026,['ST']
H. Ekitike,20,Paris Saint Germain,76,€16.5M,€19K,"Jun 30, 2023 On Loan",['ST']
L. Romero,17,Lazio,67,€2.5M,€3K,2021 ~ 2023,['RW']
S. Adingra,20,Union Saint-Gilloise,71,€4.1M,€26K,"Jun 30, 2023 On Loan","['LM', 'ST', 'LW']"
Arnau Martínez,19,Girona,74,€8.5M,€11K,2020 ~ 2025,"['RWB', 'RB', 'CB']"
M. Kjaergaard,19,Salzburg,68,€3.1M,€6K,2019 ~ 2026,['CM']
D. Fofana,19,Chelsea,68,€2.9M,€21K,2023 ~ 2024,['ST']
L. Colwill,19,Brighton & Hove Albion,70,€3.5M,€22K,"Jun 30, 2023 On Loan",['CB']
Moleiro,18,Las Palmas,74,€10M,€3K,2021 ~ 2026,"['LM', 'CM', 'CAM']"
Iker Bravo,17,Real Madrid,65,€1.8M,€2K,"Jun 30, 2023 On Loan","['ST', 'RM']"
