name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Olivier Kapo ,26,Attacking Midfield,France,€4.00m,Juventus FC,Serie A,Italy,€2.30m,2007,Birmingham City,Premier League,England,"1,84 m",NONE,AJ Auxerre,"                                    Jul 1, 2015                                ",26,26,0.81,5,0,0,4,4,5,0,0,1,404',2.018',                                    Abidjan                                ,"                                Sep 27, 1980                                                                    (42)                                                            "
Javier Garrido ,22,Left-Back,Spain,€4.00m,Real Sociedad,Liga BBVA,Spain,€2.25m,2007,Manchester City,Premier League,England,"1,79 m",NONE,Real Sociedad,"                                    Jul 1, 2020                                ",35,30,1.57,0,1,0,7,3,4,0,0,0,0,2.053',                                    Irun                                ,"                                Mar 15, 1985                                                                    (38)                                                            "
Robbie Savage ,33,Central Midfield,Wales,€4.00m,Blackburn Rovers,Premier League,England,€2.25m,2007,Derby County,Premier League,England,"1,83 m",NONE,Leicester,"                                    Nov 25, 2019                                ",39,35,1.03,0,1,0,3,6,9,0,0,0,0,2.741',                                    Wrexham                                ,"                                Oct 18, 1974                                                                    (48)                                                            "
Maxi López ,23,Centre-Forward,Argentina,€4.00m,FC Barcelona,LaLiga,Spain,€2.00m,2007,FC Moscow,Premier Liga,Russia,"1,92 m",NONE,"                                    Jul 1, 2021                                ","                                Apr 3, 1984                                                                    (38)                                                            ",22,14,0.86,3,0,0,5,6,1,0,0,1,267',802',                                Argentina                            ,                                    Buenos Aires                                
Daniel Cousin ,30,Centre-Forward,Gabon,€4.00m,RC Lens,Ligue 1,France,€1.70m,2007,Rangers FC,Premiership,Scotland,N/A,NONE,"                                    Jul 1, 2014                                ","                                Feb 7, 1977                                                                    (46)                                                            ",45,40,1.85,12,3,0,14,20,1,1,0,2,188',2.257',                                Gabon                            ,                                    Libreville                                
Diego Klimowicz ,32,Centre-Forward,Argentina,€4.00m,VfL Wolfsburg,Bundesliga,Germany,€1.50m,2007,Borussia Dortmund,Bundesliga,Germany,N/A,NONE,VfL Wolfsburg,"                                    Jul 1, 2011                                ",34,34,1.32,10,2,0,20,8,8,0,0,0,154',1.541',                                    Quilmes                                ,"                                Jul 6, 1974                                                                    (48)                                                            "
Shabani Nonda ,30,Centre-Forward,DR Congo,€4.00m,AS Roma,Serie A,Italy,€1.30m,2007,Galatasaray,Süper Lig,Turkey,"1,82 m",NONE,Monaco,"                                    Jan 31, 2010                                ",38,33,1.82,14,3,0,11,6,0,0,0,4,147',2.063',                                    Bujumbura                                ,"                                Mar 6, 1977                                                                    (46)                                                            "
Christian Riganó ,33,Centre-Forward,Italy,€4.00m,FC Messina Peloro,Serie B,Italy,€800k,2007,Levante UD,LaLiga,Spain,"1,91 m",NONE,Fiorentina,"                                    Jul 1, 2015                                ",33,32,0.97,5,3,0,15,5,8,0,0,0,331',1.654',                                    Lipari                                ,"                                May 25, 1974                                                                    (48)                                                            "
Franco Brienza ,28,Attacking Midfield,Italy,€4.00m,US Palermo,Serie A,Italy,Loan fee:€300k,2007,Reggina Calcio,Serie A,Italy,"1,72 m",NONE,US Palermo,"                                    Jul 1, 2019                                ",35,29,1.24,8,0,0,7,13,1,0,0,0,242',1.932',                                    Cantù                                ,"                                Mar 19, 1979                                                                    (44)                                                            "
Valérien Ismaël ,32,Centre-Back,France,€4.00m,Bayern Munich,Bundesliga,Germany,€200k,2007,Hannover 96,Bundesliga,Germany,"1,91 m",NONE,R. Strasbourg,"                                    Jul 1, 2009                                ",22,17,1.47,0,2,0,0,3,2,0,0,0,0,1.449',                                    Straßburg                                ,"                                Sep 28, 1975                                                                    (47)                                                            "
Hamit Altintop ,24,Right Midfield,Turkey,€4.00m,FC Schalke 04,Bundesliga,Germany,free transfer,2007,Bayern Munich,Bundesliga,Germany,"1,83 m",ISM Int. Soccer ... ,FC Schalke 04,"                                    Jan 4, 2018                                ",40,40,2.33,8,5,0,10,9,3,0,0,0,345',2.758',                                    Gelsenkirchen                                ,"                                Dec 8, 1982                                                                    (40)                                                            "
Zdenek Grygera ,27,Right-Back,Czech Republic,€4.00m,Ajax Amsterdam,Eredivisie,Netherlands,free transfer,2007,Juventus FC,Serie A,Italy,"1,84 m",NONE,"                                    Dec 6, 2012                                ","                                May 14, 1980                                                                    (42)                                                            ",34,27,1.78,1,1,0,2,6,6,0,0,0,2.180',2.180',                                Czech Republic                            ,                                    Prílepy                                
Jermaine Jones ,25,Defensive Midfield,United States,€4.00m,Eintracht Frankfurt,Bundesliga,Germany,free transfer,2007,FC Schalke 04,Bundesliga,Germany,"1,84 m",NONE,FC Schalke 04,"                                    Jan 1, 2020                                ",45,43,1.88,2,2,0,4,5,16,1,0,0,1.809',3.617',                                    Frankfurt am Main                                ,"                                Nov 3, 1981                                                                    (41)                                                            "
Georgios Karagounis ,30,Central Midfield,Greece,€4.00m,SL Benfica,Liga Portugal,Portugal,free transfer,2007,Panathinaikos Athens,Super League,Greece,"1,76 m",Prosport ... ,Panathinaikos,"                                    Jul 1, 2014                                ",40,40,2.23,6,11,0,5,16,6,0,0,1,501',3.003',                                    Pyrgos                                ,"                                Mar 6, 1977                                                                    (46)                                                            "
Boudewijn Zenden ,30,Left Winger,Netherlands,€3.80m,Liverpool FC,Premier League,England,free transfer,2007,Olympique Marseille,Ligue 1,France,"1,74 m",NONE,PSV Eindhoven,"                                    Nov 22, 2012                                ",52,38,1.79,2,3,0,21,11,4,0,0,0,827',1.654',                                    Maastricht                                ,"                                Aug 15, 1976                                                                    (46)                                                            "
Christian Terlizzi ,27,Centre-Back,Italy,€2.00m,UC Sampdoria,Serie A,Italy,?,2007,Calcio Catania,Serie A,Italy,"1,95 m",NONE,"                                    Jul 1, 2019                                ","                                Nov 22, 1979                                                                    (43)                                                            ",32,27,1.22,1,0,0,2,2,11,0,0,0,2.298',2.298',                                Italy                            ,                                    Roma                                
Roudolphe Douala ,28,Left Winger,Cameroon,€4.00m,Sporting CP,Liga Portugal,Portugal,free transfer,2007,AS Saint-Étienne,Ligue 1,France,"1,76 m",NONE,"                                    Jul 1, 2015                                ","                                Sep 25, 1978                                                                    (44)                                                            ",35,14,1.00,0,0,0,10,1,1,0,0,0,0,514',                                Cameroon                            ,                                    Douala                                
Vincent Hognon ,32,Centre-Back,France,€4.00m,AS Saint-Étienne,Ligue 1,France,free transfer,2007,OGC Nice,Ligue 1,France,"1,83 m",NONE,AS Nancy,"                                    Jul 1, 2009                                ",25,18,1.67,2,2,0,1,0,1,0,0,0,768',1.535',                                    Nancy                                ,"                                Aug 16, 1974                                                                    (48)                                                            "
Jairo Patiño ,29,Right Midfield,Colombia,€4.00m,Atlético Nacional,CA Banfield,Colombia,?,2007,CA Banfield,Clausura,Argentina,"1,81 m",NONE,"                                    Jan 1, 2016                                ","                                Apr 5, 1978                                                                    (44)                                                            ",38,38,1.42,5,4,0,2,9,11,1,0,0,635',3.175',                                Colombia                            ,                                    Santiago de Cali                                
Barreto ,22,Second Striker,Brazil,€4.00m,Udinese Calcio,Serie A,Italy,loan transfer,2007,Treviso FBC 1993,Serie B,Italy,"1,71 m",NONE,"                                    Jan 31, 2020                                ","                                Jul 12, 1985                                                                    (37)                                                            ",34,33,1.27,14,0,0,3,17,3,1,2,7,183',2.565',                                Brazil                            ,                                    Rio de Janeiro                                
Curtis Davies ,22,Centre-Back,England,€4.00m,West Bromwich Albion,Championship,England,loan transfer,2007,Aston Villa,Premier League,England,"1,88 m",NONE,"Jul 1, 2017","Jun 30, 2023",23,15,1.87,1,0,0,4,3,1,0,0,0,992',992',                                    London                                ,"                                Mar 15, 1985                                                                    (38)                                                            "
Albert Meyong ,26,Centre-Forward,Cameroon,€4.00m,Levante UD,LaLiga,Spain,loan transfer,2007,Albacete Balompié,Liga BBVA,Spain,"1,84 m",NONE,Vitória Setúbal,"                                    Jul 1, 2017                                ",15,15,0.87,1,0,0,8,5,1,0,0,1,735',735',                                    Yaoundé                                ,"                                Oct 19, 1980                                                                    (42)                                                            "
Reinaldo ,28,Centre-Forward,Brazil,€4.00m,Al-Ittihad Club (Jeddah),Saudi Pro League,Saudi Arabia,free transfer,2007,JEF United Chiba,J.League Div.1,Japan,"1,87 m",NONE,Paris SG,"                                    Jul 11, 2019                                ",30,29,1.21,4,0,0,13,8,8,0,0,0,390',1.560',                                    Itaguaí                                ,"                                Mar 14, 1979                                                                    (44)                                                            "
Jaime Gavilán ,22,Left Winger,Spain,€4.00m,Valencia CF,LaLiga,Spain,loan transfer,2007,Getafe CF,LaLiga,Spain,"1,78 m",NONE,Getafe,"                                    Aug 5, 2021                                ",35,30,1.47,3,1,0,10,15,2,0,0,0,576',1.729',                                    Valencia                                ,"                                May 12, 1985                                                                    (37)                                                            "
Fábio Santos ,27,Defensive Midfield,Brazil,€4.00m,Olympique Lyon,Ligue 1,France,loan transfer,2007,São Paulo Futebol Clube,Série A,Brazil,"1,82 m",NONE,"                                    May 1, 2010                                ","                                Oct 9, 1980                                                                    (42)                                                            ",32,22,2.23,2,0,0,6,5,4,0,0,0,718',1.435',"1,82 m",                                Brazil                            
Pablo Contreras ,29,Centre-Back,Chile,€4.00m,Celta de Vigo,Liga BBVA,Spain,free transfer,2007,SC Braga,Liga Portugal,Portugal,"1,81 m",NONE,"                                    Jul 1, 2014                                ","                                Sep 11, 1978                                                                    (44)                                                            ",18,17,1.24,0,0,0,0,3,8,1,0,0,0,1.476',                                Chile                            ,                                    Santiago de Chile                                
Christian Riganó ,33,Centre-Forward,Italy,€4.00m,Levante UD,LaLiga,Spain,loan transfer,2007,AC Siena,Serie A,Italy,"1,91 m",NONE,Fiorentina,"                                    Jul 1, 2015                                ",33,32,0.97,5,3,0,15,5,8,0,0,0,331',1.654',                                    Lipari                                ,"                                May 25, 1974                                                                    (48)                                                            "
Fabián Estoyanoff ,25,Right Midfield,Uruguay,€4.00m,Valencia CF,LaLiga,Spain,loan transfer,2007,CA Peñarol,Peñarol,Uruguay,"1,74 m",NONE,"Apr 3, 2021","Dec 31, 2023",10,8,1.13,1,0,0,3,3,0,0,0,0,457',457',                                    Montevideo                                ,"                                Sep 27, 1982                                                                    (40)                                                            "
Stephen Makinwa ,24,Centre-Forward,Nigeria,€4.00m,SS Lazio,Serie A,Italy,loan transfer,2007,Reggina Calcio,Serie A,Italy,"1,86 m",NONE,"                                    Apr 4, 2015                                ","                                Jul 26, 1983                                                                    (39)                                                            ",36,28,1.11,0,0,0,16,8,0,0,0,0,0,1.210',                                Nigeria                            ,                                    Lagos                                
Necati Ates ,28,Centre-Forward,Turkey,€4.00m,Galatasaray,Süper Lig,Turkey,loan transfer,2007,Büyüksehir Belediyespor,Süper Lig,Turkey,"1,82 m",NONE,Galatasaray,"                                    Sep 9, 2016                                ",29,29,1.14,12,3,0,2,13,3,0,0,2,182',2.184',                                    Izmir                                ,"                                Jan 3, 1980                                                                    (43)                                                            "
Daniele Galloppa ,22,Central Midfield,Italy,€850k,AS Roma,Serie A,Italy,€3.95m,2007,AC Siena,Serie A,Italy,"1,81 m",NONE,Parma,"                                    Mar 30, 2018                                ",34,31,1.06,2,2,0,4,11,6,0,0,0,1.142',2.283',                                    Roma                                ,"                                May 15, 1985                                                                    (37)                                                            "
Souleymane Diawara ,28,Centre-Back,Senegal,€3.30m,Charlton Athletic,Championship,England,€3.90m,2007,FC Girondins Bordeaux,Ligue 1,France,"1,87 m",NONE,Marseille,"                                    Jul 1, 2015                                ",43,37,1.89,0,0,1,1,0,6,0,0,0,0,3.344',                                    Gabou                                ,"                                Dec 24, 1978                                                                    (44)                                                            "
Ricardinho ,31,Attacking Midfield,Brazil,€3.90m,Besiktas JK,Süper Lig,Turkey,free transfer,2007,Al-Rayyan SC,Al-Rayyan SC,Qatar,N/A,NONE,"                                    Jan 1, 2012                                ","                                May 23, 1976                                                                    (46)                                                            ",26,23,1.65,2,3,0,9,8,2,0,0,0,628',1.256',                                Brazil                            ,                                    São Paulo                                
Antônio Géder ,29,Centre-Back,Brazil,€2.80m,Spartak Moscow,Premier Liga,Russia,€3.80m,2007,Le Mans Union Club 72,Ligue 1,France,"1,81 m",NONE,Saturn Ramenskoe,"                                    Jan 1, 2013                                ",23,21,1.24,0,1,1,1,0,5,0,0,0,0,1.862',                                    Recreio                                ,"                                Apr 23, 1978                                                                    (44)                                                            "
Caio ,21,Attacking Midfield,Brazil,€1.50m,Grêmio Barueri (SP),Série B,Brazil,€3.80m,2007,Eintracht Frankfurt,Bundesliga,Germany,"1,86 m",NONE,Grasshoppers,"                                    Dec 1, 2020                                ",17,10,1.30,1,1,0,9,1,0,0,0,0,241',241',                                    Mirandópolis                                ,"                                May 29, 1986                                                                    (36)                                                            "
Lionel Scaloni ,29,Right-Back,Argentina,€3.80m,Racing Santander,LaLiga,Spain,free transfer,2007,SS Lazio,Serie A,Italy,"1,82 m",NONE,Dep. La Coruña,"                                    Jul 1, 2015                                ",35,24,1.13,0,0,0,10,4,1,1,0,0,0,1.366',                                    Pujato                                ,"                                May 16, 1978                                                                    (44)                                                            "
Lionel Scaloni ,29,Right-Back,Argentina,€3.80m,SS Lazio,Serie A,Italy,loan transfer,2007,RCD Mallorca,LaLiga,Spain,"1,82 m",NONE,Dep. La Coruña,"                                    Jul 1, 2015                                ",35,24,1.13,0,0,0,10,4,1,1,0,0,0,1.366',                                    Pujato                                ,"                                May 16, 1978                                                                    (44)                                                            "
Grzegorz Rasiak ,28,Centre-Forward,Poland,€3.80m,Southampton FC,Championship,England,loan transfer,2007,Bolton Wanderers,Premier League,England,"1,90 m",NONE,"                                    Jul 1, 2014                                ","                                Jan 12, 1979                                                                    (44)                                                            ",43,33,1.09,8,2,1,15,9,4,0,0,0,219',1.755',                                Poland                            ,                                    Szczecin                                
Lee Cook ,24,Left Winger,England,€800k,Queens Park Rangers,Championship,England,€3.75m,2007,Fulham FC,Premier League,England,"1,77 m",NONE,QPR,"                                    Jul 1, 2016                                ",10,9,0.89,0,1,0,5,3,1,0,0,0,0,273',                                    London                                ,"                                Aug 3, 1982                                                                    (40)                                                            "
Paul McShane ,21,Centre-Back,Ireland,€250k,West Bromwich Albion,Championship,England,€3.75m,2007,Sunderland AFC,Premier League,England,"1,83 m",NONE,Hull City,"                                    Jul 1, 2022                                ",30,22,0.86,0,0,2,1,3,3,0,1,0,0,1.855',                                    Kilpedder                                ,"                                Jan 6, 1986                                                                    (37)                                                            "
Leon Barnett ,21,Centre-Back,England,€100k,Luton Town,League One,England,€3.75m,2007,West Bromwich Albion,Championship,England,"1,85 m",NONE,Wigan,"                                    Nov 26, 2018                                ",44,36,1.78,3,0,0,2,1,5,0,0,0,1.050',3.151',                                    Luton                                ,"                                Nov 30, 1985                                                                    (37)                                                            "
Chris Brunt ,22,Central Midfield,Northern Ireland,€1.00m,Sheffield Wednesday,Championship,England,€3.75m,2007,West Bromwich Albion,Championship,England,"1,87 m",Wasserman ,West Brom,"                                    Jan 3, 2021                                ",48,42,1.83,6,10,0,15,14,1,0,0,0,409',2.453',                                    Belfast                                ,"                                Dec 14, 1984                                                                    (38)                                                            "
Danny Higginbotham ,28,Centre-Back,Gibraltar,€2.50m,Stoke City,Championship,England,€3.75m,2007,Sunderland AFC,Premier League,England,"1,85 m",NONE,"                                    Jan 8, 2014                                ","                                Dec 29, 1978                                                                    (44)                                                            ",25,23,0.87,3,0,0,0,1,1,0,0,0,675',2.025',                                Gibraltar                            ,                                    Manchester                                
Bruno Silva ,27,Right-Back,Uruguay,€1.75m,FC Groningen,Eredivisie,Netherlands,€3.75m,2007,Ajax Amsterdam,Eredivisie,Netherlands,"1,78 m",NONE,"                                    Jan 1, 2018                                ","                                Mar 29, 1980                                                                    (43)                                                            ",35,35,1.74,1,8,0,0,1,10,0,0,0,3.180',3.180',                                Uruguay                            ,                                    Melo                                
Dmitri Loskov ,33,Attacking Midfield,Russia,€3.75m,Lokomotiv Moscow,Premier Liga,Russia,€1.50m,2007,Saturn Ramenskoe,Premier Liga,Russia,"1,78 m",NONE,Loko Moscow,"                                    Jul 1, 2017                                ",27,18,1.11,1,0,0,3,11,0,0,0,0,1.173',1.173',                                    Kurgan                                ,"                                Feb 12, 1974                                                                    (49)                                                            "
Richard Núñez ,31,Attacking Midfield,Uruguay,€3.75m,CD Cruz Azul,Primera Clausura,Mexico,€1.40m,2007,CF América,Primera Clausura,Mexico,"1,72 m",NONE,Grasshoppers,"                                    Jul 1, 2015                                ",48,43,1.21,5,9,0,16,22,9,0,0,0,470',2.348',                                    Montevideo                                ,"                                Feb 16, 1976                                                                    (47)                                                            "
Shinji Ono ,28,Attacking Midfield,Japan,€3.75m,Urawa Red Diamonds,J.League Div.1,Japan,€500k,2007,VfL Bochum,Bundesliga,Germany,"1,75 m",NONE,"Jan 9, 2021","Jan 31, 2024",16,13,1.54,0,2,0,8,3,0,0,0,0,0,611',"                                    Numazu, Shizuoka                                ","                                Sep 27, 1979                                                                    (43)                                                            "
Marcus Bent ,29,Centre-Forward,England,€3.75m,Charlton Athletic,Championship,England,loan transfer,2007,Wigan Athletic,Premier League,England,"1,88 m",NONE,"Jan 4, 2020",-,37,36,0.97,8,3,0,6,11,1,0,0,0,339',2.708',"                                    Hammersmith, London                                ","                                May 19, 1978                                                                    (44)                                                            "
Vampeta ,33,Central Midfield,Brazil,€3.75m,Sport Club Corinthians Paulista,Série B,Brazil,free transfer,2007,Clube Atlético Juventus (SP),CA Juventus,Brazil,"1,84 m",NONE,"                                    May 1, 2008                                ","                                Mar 13, 1974                                                                    (49)                                                            ",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,                                Brazil                            ,                                    Nazaré das Farinhas                                
Luke Varney ,24,Centre-Forward,England,€200k,Crewe Alexandra,League One,England,€3.70m,2007,Charlton Athletic,Championship,England,"1,81 m",NONE,Crewe Alexandra,"                                    Nov 2, 2021                                ",43,42,1.31,8,5,0,17,12,4,0,0,0,309',2.473',                                    Leicester                                ,"                                Sep 28, 1982                                                                    (40)                                                            "
Humberto Suazo ,26,Centre-Forward,Chile,-,CSD Colo Colo,CF Monterrey,Chile,€3.70m,2007,CF Monterrey,Primera Clausura,Mexico,"1,71 m",Fernando Felicevich ,"Jan 1, 2023",-,34,34,1.21,20,4,0,3,18,6,0,0,1,124',2.489',                                    San Antonio                                ,"                                May 10, 1981                                                                    (41)                                                            "
Jakub Blaszczykowski ,21,Right Winger,Poland,€3.70m,Wisla Kraków,Ekstraklasa,Poland,€3.05m,2007,Borussia Dortmund,Bundesliga,Germany,"1,76 m",NONE,"Feb 7, 2019","Jun 30, 2023",27,27,1.11,1,4,0,2,15,4,1,0,0,2.097',2.097',                                    Truskolasy                                ,"                                Dec 14, 1985                                                                    (37)                                                            "
Titus Bramble ,25,Centre-Back,England,€3.70m,Newcastle United,Premier League,England,free transfer,2007,Wigan Athletic,Premier League,England,"1,92 m",NONE,Newcastle,"                                    Jul 1, 2013                                ",34,27,0.85,2,1,0,0,0,6,0,0,0,1.215',2.430',                                    Ipswich                                ,"                                Jul 31, 1981                                                                    (41)                                                            "
Shefki Kuqi ,30,Centre-Forward,Finland,€3.70m,Crystal Palace,Championship,England,loan transfer,2007,Fulham FC,Premier League,England,N/A,NONE,"                                    Jul 1, 2013                                ","                                Nov 10, 1976                                                                    (46)                                                            ",26,23,0.96,0,1,0,15,4,1,0,0,0,0,934',                                Finland                            ,                                    Vučitrn                                
Fabio Caserta ,28,Central Midfield,Italy,€3.20m,Calcio Catania,Serie A,Italy,€3.60m,2007,US Palermo,Serie A,Italy,"1,79 m",NONE,"                                    Jul 1, 2016                                ","                                Sep 24, 1978                                                                    (44)                                                            ",38,32,1.31,1,2,0,8,13,4,1,1,0,2.008',2.008',                                Italy                            ,Melito di Porto ... 
Simon Poulsen ,23,Left-Back,Denmark,€700k,FC Midtjylland,SAS Ligaen,Denmark,€3.60m,2007,AZ Alkmaar,Eredivisie,Netherlands,"1,84 m",NONE,AZ Alkmaar,"                                    Jan 1, 2019                                ",31,31,1.19,4,2,0,7,9,5,0,0,0,543',2.170',                                    Sønderborg                                ,"                                Oct 7, 1984                                                                    (38)                                                            "
Kostyantyn Kravchenko ,21,Attacking Midfield,Ukraine,€1.25m,Dnipro Dnipropetrovsk (-2020),Premier Liga,Ukraine,€3.60m,2007,Shakhtar Donetsk,Premier Liga,Ukraine,"1,80 m",NONE,Dnipro,"                                    Mar 12, 2016                                ",27,27,2.37,4,3,0,14,9,5,0,0,0,325',1.301',                                    Dnipropetrovsk                                ,"                                Sep 24, 1986                                                                    (36)                                                            "
Cristian Ansaldi ,21,Left-Back,Argentina,€1.20m,CA Newell's Old Boys,Clausura,Argentina,€3.60m,2007,Rubin Kazan,Premier Liga,Russia,"1,81 m",Pedro Aldave Ortuzar ,"Aug 22, 2022","Jun 30, 2023",41,39,1.87,1,4,0,2,5,9,1,0,0,3.296',3.296',                                    Rosario                                ,"                                Sep 20, 1986                                                                    (36)                                                            "
Mladen Petric ,26,Centre-Forward,Croatia,€3.60m,FC Basel 1893,Super League,Switzerland,€3.50m,2007,Borussia Dortmund,Bundesliga,Germany,N/A,Sports360 GmbH ,"                                    Jul 1, 2016                                ","                                Jan 1, 1981                                                                    (42)                                                            ",35,35,1.37,18,4,0,1,6,3,0,0,0,164',2.950',                                Croatia                            ,                                    Dubrave                                
Raúl Bravo ,26,Centre-Back,Spain,€3.60m,Real Madrid,LaLiga,Spain,€2.30m,2007,Olympiacos Piraeus,Super League,Greece,"1,81 m",NONE,Real Madrid,"                                    Feb 9, 2022                                ",14,12,2.08,0,1,0,2,3,3,0,0,0,0,912',                                    Gandia                                ,"                                Apr 14, 1981                                                                    (41)                                                            "
Johan Djourou ,20,Centre-Back,Switzerland,€3.60m,Arsenal FC,Premier League,England,loan transfer,2007,Birmingham City,Premier League,England,"1,92 m",NONE,Arsenal,"                                    Jul 1, 2021                                ",20,16,1.13,0,0,0,1,2,0,0,0,0,0,1.303',                                    Abidjan                                ,"                                Jan 18, 1987                                                                    (36)                                                            "
Ahmed Barusso ,22,Defensive Midfield,Ghana,€2.50m,Rimini FC,Serie B,Italy,€3.50m,2007,AS Roma,Serie A,Italy,"1,84 m",NONE,"                                    Jul 1, 2021                                ","                                Dec 26, 1984                                                                    (38)                                                            ",26,8,1.38,1,0,0,6,1,2,0,0,1,235',235',                                Ghana                            ,                                    Accra                                
Tobias Linderoth ,28,Defensive Midfield,Sweden,€3.25m,FC Copenhagen,SAS Ligaen,Denmark,€3.50m,2007,Galatasaray,Süper Lig,Turkey,"1,78 m",NONE,"                                    Nov 1, 2010                                ","                                Apr 21, 1979                                                                    (43)                                                            ",12,12,1.75,1,0,0,0,4,2,0,0,0,1.026',1.026',                                Sweden                            ,                                    Marseille                                
Matteo Paro ,24,Central Midfield,Italy,€3.50m,Juventus FC,Serie A,Italy,€3.50m,2007,Genoa CFC,Serie A,Italy,"1,79 m",NONE,Crotone,"                                    Jul 1, 2016                                ",24,22,1.64,0,2,0,4,4,8,0,0,0,0,1.546',                                    Asti                                ,"                                Mar 17, 1983                                                                    (40)                                                            "
Paolo De Ceglie ,20,Left-Back,Italy,€1.00m,Juventus FC,Serie A,Italy,€3.50m,2007,AC Siena,Serie A,Italy,"1,84 m",NONE,Juventus,"                                    Sep 1, 2021                                ",33,29,1.14,2,1,0,5,3,1,0,0,0,1.089',2.177',                                    Aosta                                ,"                                Sep 17, 1986                                                                    (36)                                                            "
Aitor Ocio ,30,Centre-Back,Spain,€1.10m,Sevilla FC,LaLiga,Spain,€3.50m,2007,Athletic Bilbao,LaLiga,Spain,"1,87 m",NONE,Athletic,"                                    Jul 1, 2012                                ",31,30,1.17,0,0,1,0,2,8,3,0,0,0,2.656',                                    Vitoria-Gasteiz                                ,"                                Nov 28, 1976                                                                    (46)                                                            "
Grégory Bourillon ,23,Centre-Back,France,€3.50m,Stade Rennais FC,Ligue 1,France,€3.50m,2007,Paris Saint-Germain,Ligue 1,France,"1,87 m",NONE,"                                    Jul 1, 2019                                ","                                Jul 1, 1984                                                                    (38)                                                            ",39,30,1.50,0,3,1,4,4,3,0,0,0,0,2.446',                                France                            ,                                    Laval                                
Rod Fanni ,25,Right-Back,France,€2.50m,OGC Nice,Ligue 1,France,€3.50m,2007,Stade Rennais FC,Ligue 1,France,"1,86 m",NONE,Marseille,"                                    Jan 1, 2021                                ",36,35,1.29,0,2,0,0,2,2,0,0,0,0,3.145',                                    Martigues                                ,"                                Dec 6, 1981                                                                    (41)                                                            "
Jan Simunek ,20,Centre-Back,Czech Republic,-,AC Sparta Prague,Gambrinus Liga,Czech Republic,€3.50m,2007,VfL Wolfsburg,Bundesliga,Germany,N/A,NONE,"                                    Feb 19, 2018                                ","                                Feb 20, 1987                                                                    (36)                                                            ",37,34,1.85,0,0,0,5,2,4,0,0,0,0,2.692',                                Czech Republic                            ,                                    Prag                                
Dady ,25,Centre-Forward,Cape Verde,€1.00m,CF Os Belenenses,Liga Portugal,Portugal,€3.50m,2007,CA Osasuna,LaLiga,Spain,"1,90 m",NONE,"                                    Jul 1, 2016                                ","                                Aug 13, 1981                                                                    (41)                                                            ",31,30,1.17,7,3,0,11,8,6,0,0,0,261',1.824',                                Cape Verde                            ,                                    Lisboa                                
André Lima ,22,Centre-Forward,Brazil,-,Botafogo de Futebol e Regatas,Série A,Brazil,€3.50m,2007,Hertha BSC,Bundesliga,Germany,"1,85 m",NONE,Grêmio,"                                    Dec 1, 2020                                ",42,33,1.52,5,2,0,13,13,3,0,0,0,358',1.791',                                    Rio de Janeiro                                ,"                                May 3, 1985                                                                    (37)                                                            "
Sebastian Boenisch ,20,Left-Back,Poland,€400k,FC Schalke 04,Bundesliga,Germany,€3.50m,2007,SV Werder Bremen,Bundesliga,Germany,"1,91 m",NONE,"                                    Jul 1, 2020                                ","                                Feb 1, 1987                                                                    (36)                                                            ",19,14,1.57,1,0,0,5,2,0,0,0,0,800',800',                                Poland                            ,                                    Gliwice                                
Martin Fenin ,20,Centre-Forward,Czech Republic,€3.50m,FK Teplice,Gambrinus Liga,Czech Republic,€3.50m,2007,Eintracht Frankfurt,Bundesliga,Germany,"1,83 m",NONE,"Aug 28, 2020",-,32,32,1.56,13,3,0,1,10,8,0,0,0,209',2.718',                                    Cheb                                ,"                                Apr 16, 1987                                                                    (35)                                                            "
Toifilou Maoulida ,28,Centre-Forward,France,€2.50m,AJ Auxerre,Ligue 1,France,€3.50m,2007,RC Lens,Ligue 1,France,"1,84 m",NONE,"                                    Jul 1, 2017                                ","                                Jun 8, 1979                                                                    (43)                                                            ",42,37,1.22,9,2,0,11,9,4,0,0,0,274',2.470',                                France                            ,                                    Kani-Kéli                                
Nadir Belhadj ,25,Left-Back,Algeria,€3.50m,Olympique Lyon,Ligue 1,France,€3.50m,2007,RC Lens,Ligue 1,France,"1,75 m",NONE,"Jan 19, 2022",-,46,34,1.38,0,3,0,8,2,4,0,0,0,0,2.528',                                    Saint-Claude                                ,"                                Jun 18, 1982                                                                    (40)                                                            "
Richard Porta ,24,Centre-Forward,Uruguay,-,CA River Plate Montevideo,AC Siena,Uruguay,€3.50m,2007,AC Siena,Serie A,Italy,"1,84 m",NONE,"                                    Jan 14, 2018                                ","                                Aug 1, 1983                                                                    (39)                                                            ",7,1, ,0,0,0,1,0,0,0,0,0,0,28',                                Uruguay                            ,                                    Fairfield                                
